,Agente1,Agente2,ClientesComun
1084,6527,20616,2
1085,19008,25393,2
1086,3206,25957,2
1087,13687,18022,2
1088,18580,25506,2
1089,219,18547,2
1090,14768,30439,2
1091,18499,27133,2
1092,1163,14144,2
1093,8409,18874,2
1094,11950,16296,2
1095,9192,17491,2
1096,9570,14590,2
1097,2476,11348,2
1098,26434,30427,2
1099,2466,5176,2
1100,9375,23745,2
1101,22021,27376,2
1102,23789,27791,2
1103,18219,26740,2
1104,11515,23652,2
1105,610,19390,2
1106,18107,25187,2
1107,23789,26146,2
1108,4938,14639,2
1109,21128,25926,2
1110,15086,27247,2
1111,14135,15521,2
1112,14093,24892,2
1113,23614,23944,2
1114,19119,28110,2
1115,17822,24004,2
1116,13653,29041,2
1117,24377,27131,2
1118,1237,21278,2
1119,4605,16673,2
1120,5173,17439,2
1121,10898,20920,2
1122,8506,23623,2
1123,19004,29054,2
1124,4746,14594,2
1125,21070,24505,2
1126,4632,23549,2
1127,11909,18459,2
1128,19633,26117,2
1129,6510,28476,2
1130,6510,18314,2
1131,7927,16749,2
1132,14144,24924,2
1133,1736,18356,2
1134,7484,26155,2
1135,19574,27300,2
1136,13452,15086,2
1137,9683,22055,2
1138,21553,22543,2
1139,6008,25252,2
1140,11812,19589,2
1141,18865,19941,2
1142,23676,26383,2
1143,2413,25076,2
1144,6169,9921,2
1145,12654,23792,2
1146,3595,8556,2
1147,4430,22482,2
1148,5193,25362,2
1149,17081,24597,2
1150,6783,22021,2
1151,4017,17840,2
1152,8250,23664,2
1153,17136,25562,2
1154,8556,30142,2
1155,6605,18356,2
1156,10058,17543,2
1157,12061,30292,2
1158,15169,21837,2
1159,13028,27247,2
1160,4845,4942,2
1161,6889,15169,2
1162,17848,21113,2
1163,7864,21662,2
1164,25053,28861,2
1165,2287,18579,2
1166,14506,28006,2
1167,10838,24095,2
1168,21890,24427,2
1169,15044,20842,2
1170,12884,23241,2
1171,1736,8556,2
1172,20079,25983,2
1173,19004,24095,2
1174,1722,12387,2
1175,17490,26981,2
1176,2392,24653,2
1177,21603,25163,2
1178,17166,20903,2
1179,10805,29138,2
1180,25187,26267,2
1181,16165,26333,2
1182,16558,19328,2
1183,16783,23623,2
1184,4885,6098,2
1185,12437,18700,2
1186,18865,19538,2
1187,24518,25393,2
1188,23213,23294,2
1189,11304,20106,2
1190,11026,16082,2
1191,3890,4685,2
1192,23884,26740,2
1193,7004,30621,2
1194,16558,23826,2
1195,12325,21380,2
1196,19730,24095,2
1197,14077,24492,2
1198,11623,11624,2
1199,17182,21105,2
1200,4798,21417,2
1201,16558,16643,2
1202,19105,19326,2
1203,14093,16325,2
1204,18603,22780,2
1205,10913,26689,2
1206,9104,24675,2
1207,18698,24095,2
1208,6307,6510,2
1209,18022,18030,2
1210,19643,22543,2
1211,10697,17416,2
1212,12724,21861,2
1213,11774,30427,2
1214,9062,24828,2
1215,11348,17808,2
1216,23944,30650,2
1217,21625,30621,2
1218,2820,20842,2
1219,10653,20819,2
1220,11618,15270,2
1221,20524,21662,2
1222,22802,26686,2
1223,8464,21837,2
1224,7935,12233,2
1225,18735,27883,2
1226,2833,18434,2
1227,9733,25315,2
1228,19710,20053,2
1229,15873,26543,2
1230,6567,20883,2
1231,24377,24518,2
1232,8556,12189,2
1233,1722,11878,2
1234,22217,27252,2
1235,2,20336,2
1236,18434,26131,2
1237,15805,19046,2
1238,5176,18735,2
1239,18030,23623,2
1240,18533,18865,2
1241,1861,20718,2
1242,21220,30292,2
1243,14842,23919,2
1244,11624,17636,2
1245,4885,10119,2
1246,13388,19797,2
1247,10724,14135,2
1248,19640,21603,2
1249,16240,26543,2
1250,25408,31282,2
1251,7009,12390,2
1252,14590,20555,2
1253,22075,26266,2
1254,21856,30621,2
1255,24589,28245,2
1256,11951,28601,2
1257,22415,26590,2
1258,2433,22935,2
1259,2646,7994,2
1260,22956,25665,2
1261,5364,9238,2
1262,10268,21451,2
1263,19534,24828,2
1264,4826,21041,2
1265,6605,19161,2
1266,17278,18434,2
1267,4360,14304,2
1268,20250,23623,2
1269,12535,19554,2
1270,5763,26740,2
1271,9060,27032,2
1272,8556,21213,2
1273,19731,28788,2
1274,3206,15169,2
1275,4740,6428,2
1276,10600,27744,2
1277,19536,20930,2
1278,343,21525,2
1279,24377,24887,2
1280,9326,18700,2
1281,6889,28788,2
1282,18308,19119,2
1283,4885,10149,2
1284,22794,26645,2
1285,28293,28315,2
1286,6680,13565,2
1287,24042,25835,2
1288,6510,18944,2
1289,17278,18133,2
1290,2050,23714,2
1291,1447,29054,2
1292,17238,23867,2
1293,3288,21533,2
1294,18356,18700,2
1295,21622,28788,2
1296,18875,26824,2
1297,22369,22380,2
1298,22881,23100,2
1299,14919,24095,2
1300,16602,28006,2
1301,15768,25801,2
1302,1237,3288,2
1303,18804,21843,2
1304,18775,20268,2
1305,18219,22555,2
1306,1791,11257,2
1307,20768,26521,2
1308,6866,13526,2
1309,5219,15352,2
1310,21051,30292,2
1311,19063,23528,2
1312,14106,16700,2
1313,22362,22625,2
1314,28006,30621,2
1315,18356,21122,2
1316,10268,19730,2
1317,17297,24593,2
1318,5176,21886,2
1319,9203,14117,2
1320,24828,27247,2
1321,15768,21662,2
1322,18574,18703,2
1323,13326,15505,2
1324,14093,30714,2
1325,11026,21662,2
1326,28228,29502,2
1327,22396,30292,2
1328,20414,22721,2
1329,4605,21099,2
1330,1722,11659,2
1331,11348,11915,2
1332,12437,30292,2
1333,4605,18804,2
1334,16558,16985,2
1335,24555,26579,2
1336,5173,23755,2
1337,6068,19028,2
1338,19004,24004,2
1339,4428,16240,2
1340,8556,21572,2
1341,11618,25997,2
1342,18356,24828,2
1343,18030,18356,2
1344,20539,21753,2
1345,15610,28788,2
1346,17390,26571,2
1347,18356,18434,2
1348,6274,22851,2
1349,20919,27532,2
1350,13469,23025,2
1351,5173,11950,2
1352,15171,18537,2
1353,15169,27032,2
1354,10268,18356,2
1355,10622,30427,2
1356,14734,17416,2
1357,870,23623,2
